Title,Ingredients,Steps,Author,Servings,Link
Sambal Goreng Krecek,"['80 gram kacang tolo atau kacang tunggak yang sdh direbus', '10 buah tahu kulit yg coklat', '50 gram krupuk kulit atau krecek', '2 lembar daun salam', '2 batang sereh', '1 jempol lengkuas', 'Secukupnya air', '2 sdt Gula Pasir Rose Brand', '1 sdt Micin Asatu', 'Secukupnya garam', '1 bungkus Santan Rose Brand 65 ml', 'Secukupnya Minyak Goreng Rose Brand untuk menumis', '1 sdt ketumbar', '4 butir kemiri matang', '7 buah bawang merah', '5 buah bawang putih', '10 buah cabe merah keriting', '8 buah cabe rawit merah', '1/2 sdt kunyit bubuk']","['Siapkan bahan2nya, gula pasir, Micin Asatu, santan dan minyak goreng semuanya dari Rose Brand, dan siapkan juga tahu coklat potong2, kacang tolo yg sdh direbus dan kerupuknya', 'Panaskan minyak goreng Rose Brand lalu tumis bumbu halus masukkan juga bumbu aromatik nya tumis sampai harum dan matang', 'Masukkan air, gula pasir Rose Brand, Micin Asatu Rose Brand, dan garam aduk rata', 'Masak sampai mendidih lalu masukkan kacang tolo dan tahunya', 'Aduk rata masak sampai bumbu meresap lalu masukkan krupuk kulitnya aduk rata', 'Terakhir masukkan santan Rose Brand aduk rata masak sampai mendidih jangan lupa koreksi rasa dan siap disajikan, selamat mencoba 😍']",Dapur Dien,3 orang,https://cookpad.com/id/resep/25806289
1030. Tempe Mendoan Daun Kucai dengan Sambal Kecap,"['5 lembar Tempe mendoan (saya 6 lembar)', '125 gr Terigu segitiga (saya pakai kunci biru)', '25 gr Tepung beras', 'secukupnya Garam (saya 1 sdt)', 'Secukupnya Kaldu bubuk (saya 1/2 sdt)', '1/4 sdt micin (me)', 'secukupnya Air (saya pakai 200ml)', 'secukupnya Minyak untuk menggoreng', '2 batang Daun bawang, iris tipis (saya pakai 5 rumpun daun kucai)', 'sejumput Kunyit bubuk (saya 1/4 sdt)', ' Bumbu halus:', '2 siung Bawang merah', '2 siung Bawang putih', '1/2 sdt Ketumbar sangrai', ' Bahan sambal kecap:', '3 siung Bawang merah, potong', '5 buah Cabai rawit, potong', '2 sachet Kecap manis (saya 2 tbs)']","['Campur terigu, tepung beras, garam, kaldu bubuk, micin dan kunyit', 'Masukkan bumbu uleg dan kucai ke adonan, tambahkan air, aduk rata.', 'Celupkan tempe ke adonan, goreng dalam minyak panas hingga setengah matang atau sesuaikan selera tingkat matangnya.', 'Untuk sambal kecap, iris bawang merah dan cabai rawit, campur dengan kecap manis.', 'Sajikan tempe mendoan hangat dengan sambal kecap.']",Eni henie,6 pcs,https://cookpad.com/id/resep/25805728
Pecel Terong,"['7 terong ukuran kecil', '5 siung bawang putih', '3 siung bawang merah', '10 buah cabai rawit setan', '1 ruas kencur', '3 lembar daun jeruk', '1 sendok teh gula pasir', 'Secukupnya garam', '300 ml santan panas atau hangat']","['Siapkan terong kemudian belah dua', 'Panggang di atas teflon', 'Siapkan bawang merah bawang putih cabe kencur garam gula pasir dan juga daun jeruk yang sudah dibuang tulangnya', 'Ulek hingga halus kemudian tambahkan dengan santan panas', 'Siapkan terong kemudian masukkan ke dalam cobek yang sudah berisi bumbu santan tambahkan juga tempe goreng dan ayam goreng', 'Pecel terong siap disajikan']",Dessy Solehyanti,4 orang,https://cookpad.com/id/resep/25805701
Otak-Otak Udang Goreng,"[' Bahan otak-otak :', '250 g udang', '2 siung bawang putih', '1 btg daun bawang. Iris tipis', '1 btr putih telur', '3/4 sdt garam', '1/2 sdt lada bubuk', '1/2 sdt kaldu bubuk', '100 gram tepung sagu', ' Bahan cuko :', '12 siung bawang putih', '15 bj cabe rawit', '300 ml air', '200 g gula aren', '50 g asam jawa', '3/4 sdt garam', '3 sdm kecap manis']","['Haluskan udang dan bwg putih.', 'Masukkan semua bahan jadi 1. Aduk hingga rata.', 'Ambil adonan, bentuk adonan. (Taburi tangan dg sagu jika lengket). Rebus di air yg mendidih hingga mengapung. Angkat & tiriskan. Goreng.', 'Cuko : Blender bwg putih dan cabe.', 'Masak semua bahan jadi 1 hingga gula mencair dan mendidih,sekitar 20 menitan. Saring dan buang ampas2nya. Simpan dlm botol kaca.', 'Kecapnya gak mengganggu rasa cukonya menurut saya, tapi bisa di skip kalau mau.']",Trikartikafrilia,15 bh,https://cookpad.com/id/resep/25805068
Nasi Tumpeng,"['3 liter beras sedang', '3 liter santan kental (65ml + 2 buah kelapa)', '10 batang Serai', '10 lembar daun salam', '5 lembar daun jeruk', '2 ruas lengkuas', '5 SDM garam', ' Isian dari nasi tumpeng', '5 papan tempe', '5 bungkus mie 3 telor']","['Siap kan bahan2', 'Cuci beras sampe bersih kemudian rendam am air kunyit selama kurang lebih 30 menit', 'Kemudian kukus selama 30-45 menit sampe beras keket.. Atau setengah matang jgn lupa kasih sebatang serai, daun salam, lengkuas am daun jeruk', 'Kemudian rebus santan bersama, serai, daun salam, lengkuas, daun jeruk kasih garam sampe mendidih', 'Setelah beras keket and setelah setengah matang angkat pindahkan ke baskom kemudian siram santan dalam keadaan mendidih. Siram sampe basah and merata', 'Kemudian diamkan dulu kurang lebih 15 menit agar santan lengket kedlm beras. Setelah keket kukus kembali selama 45-1 jam agar benar2 matang. Sering diaduk agar matangny sempurna', 'Kita buat orek tempe ut tambahan nasi tumpengnya. Iris tempe kemudian goreng. Kemudian bumbu kan dengan bawang putih am bawang merah di Iris kasih kecap. Krn ng pedas ut anak2 sd', 'Lalu sajikan ditempat bento kita bentuk nasi kuning yg sudah matang, mie goreng am orek tempe, timun, bawang goreng']",Isye Ilawaty,30 box,https://cookpad.com/id/resep/25805297
Pempek Dos,"['200 gram tepung tapioka Rose Brand', '200 gram tepung terigu', 'secukupnya Garam', '300 ml kuah udang', '3 siung Bawang putih', ' Kuah cuko', '500 gram gula aren', '4 siung bawang putih', '50 gram ebi', 'secukupnya Air', '5 buah cabe rawit hijau', ' Pelengkap : Timun']","['Siapkan bahan bahan', 'Dengan panci kita rebus air udang trs masukin bawang putih yg sudah dihaluskan masak sampe mendidih kemudian masukan tepung terigu masak kembali sampe kalis', 'Angkat pindahkan ke wadah besar tunggu sampe uapnya ilang kemudian masukan telor aku di mixer agar adonan lembut. Kemudian masukan tepung tapioka Rose Brand aduk agar tercampur rata..', 'Adonan bisa di bentuk kl lenjer tgl memanjang. Kemudian masak air sampe mendidih ksh minyak sedikit. Masukan lenjer ny', 'Membuat yg isi telor.. Aku pake telor puyuh buat dulu corongnya agak kedlm ya.. Kemudian gunting ujung telor masukan jgn sampe kena adonan telornya nt ng bs dilipat. Kemudian lipat lalu rebus sampe mengapung masak dulu agar matang sempurna', 'Untuk cuko masak gula aren sampe mendidih tambahkan asem Jawa. Haluskan bawang putih, ebi and cabe rawit masukan ke dlm nya ksh garam kemudian saring', 'Sudah matang diangkat pindahkan']",Isye Ilawaty,6 orang,https://cookpad.com/id/resep/25804853
Gulai Daun Singkong Kecombrang,"['1 ikat Daun Singkong', '1 bh Bunga Kecombrang', '1 bgks Bumbu Gulai Instan Selera', '7 btr Bawang Merah iris', '4 Siung Bawang Putih iris', '2 lbr Daun Salam', '65 ml Santan Instan', '600 ml Air bersih', 'secukupnya Garam, Gula, Penyedap Rasa']","['Siapkan bumbu iris, Daun Singkong yang sudah di rebus lalu diiris.', 'Masukkan Perbumbuan dalam panci dan tambahkan air, biarkan sampai mendidih.', 'Tambahkan potongan Daun Singkong, aduk rata.', 'Sebelum mendidih tambahkan Santan Instan, Gula, Garam serta Penyedap rasa aduk rata. Koreksi rasanya, tunggu mendidih sambil diaduk.', 'Sajikan.']",Widjie Astuti,Sekeluarga,https://cookpad.com/id/resep/25778460
"Opor putih ayam,tahu,telur","['4 potong ayam (saya pakai paha bawah)', '4 butir telur,rebus dan kupas', '5 potong tahu coklat segitiga', '1 pack santan kara', 'Secukupnya garam,totole,gula pasir', 'Secukupnya Minyak untuk menu', 'Secukupnya air', '5 lembar daun jeruk', '3 batang serai', 'Sejempol lengkuas,geprek', '5 siung bawang merah', '3 siung bawang putih', '1/2 sdt ketumbar', '4 buah kemiri', 'Seruas jempol jahe']","['Tumis bumbu halus dan bumbu cemplung hingga bumbu matang.', 'Setelah bumbu matang,masukkan ayam aduk rata masak sebentar.', 'Setelah bumbu tercampur rata, masukkan air. Masak hingga ayam matang.setelah ayam matang masukkan tahu dan telur.', 'Setelah semua matang, bumbui dan koreksi rasa. Setelah semua sudah pas, masukkan santan aduk rata dan biarkan mendidih.', 'Sajikan dengan nasi hangat atau lontong,taburi dengan bawang goreng']",Dapur Tabby,2-3 orang,https://cookpad.com/id/resep/25804461
Rica Rica ceker kemangi,"['1/2 kg ceker ayam (rebus terpisah sampai empuk ya bun)', '300 ml air', '3 sdm minyak goreng', '1 ikat kemangi', '10 cabe merah keriting', '8 bawang merah', '3 bawang putih', '3 butir kemiri', '2 ruas jari jahe', '2 ruas jari kunyit', '2 buah tomat, potong sesuai selera', 'secukupnya Cabai rawit', '1 batang serai', '3 lembar daun jeruk', ' Garam', ' gula', ' lada']","['Siapkan semua bahan yang dibutuhkan', 'Haluskan bumbu, kemudian tumis menggunakan minyak goreng. Hingga harum dan berminyak', 'Masukkan garam, gula dan. Aduk rata', 'Masukkan bumbu iris dan aromatik', 'Masukkan ceker dan air. Aduk rata hingga bumbu dan ceker tercampur', 'Masak hingga mendidih, ceker empuk dan air menyusut.', 'Cek rasa. Terakhir masukkan kemangi dan aduk hingga rata. Rica-rica ceker kemangi siap disajikan bun 🥰']",Liliana Desy,2 org,https://cookpad.com/id/resep/25804313
Sambal roa,"['300 gr ikan roa asap halus', '100 gram cabai keriting', '200 gram cabai merah rawit', '10 siung bawang putih', '100 gram bawang merah', '1 sdt garam', '1/2 sdt gula pasir', '30-50 ml minyak goreng']","['Cuci bersih cabai & bawang lalu masukkan ke dalam blender, tambahkan 30 - 50 ml minyak goreng, kemudian blender semua bumbu. Bisa diblender kasar saja supaya ada teksturnya.', 'Masukkan bahan sambal yang sudah diblender ke wajan dan aduk hingga harum.', 'Tambahkan garam dan gula secukupnya. Lalu aduk hingga rata.', 'Masukkan bubuk ikan roa ke dalam bumbu, aduk kembali hingga rata menggunakan api kecil, hingga sambal matang. Setelah matang koreksi rasa, jika kurang asin bisa ditambahkan garam dan diaduk kembali.']",Arun Smieszek,2 jar kecil,https://cookpad.com/id/resep/25803896
